price,number_of_rooms,square_meters,address,canton,property_type,floor,year_category
"CHF 1,160,000.–",3.5 rooms,91m²,1031 Mex VD,vaud,Apartment,eg,2016-2024
"CHF 1,530,000.–",4.5 rooms,108m²,1012 Lausanne,vaud,Apartment,eg,2016-2024
"CHF 1,950,000.–",4.5 rooms,127m²,1010 Lausanne,vaud,Apartment,eg,2016-2024
"CHF 1,860,000.–",4.5 rooms,141m²,1197 Prangins,vaud,Apartment,eg,2016-2024
"CHF 790,000.–",2.5 rooms,55m²,1814 La Tour-de-Peilz,vaud,Apartment,eg,2016-2024
"CHF 1,880,000.–",4.5 rooms,127m²,1010 Lausanne,vaud,Apartment,eg,2016-2024
"CHF 1,860,000.–",5.5 rooms,172m²,1885 Chesières,vaud,Apartment,eg,2016-2024
"CHF 1,940,000.–",5.5 rooms,174m²,1885 Chesières,vaud,Apartment,eg,2016-2024
"CHF 920,000.–",5.5 rooms,120m²,1375 Penthéréaz,vaud,Apartment,eg,2016-2024
"CHF 1,490,000.–",4.5 rooms,134m²,"Route d'Echandens 8, 1027 Lonay",vaud,Apartment,eg,2016-2024
"CHF 1,250,000.–",4.5 rooms,124m²,"Lausanne, 1018 Lausanne",vaud,Apartment,eg,2016-2024
"CHF 1,750,000.–",3.5 rooms,109m²,"Chemin du Signal, 1070 Puidoux",vaud,Apartment,eg,2016-2024
"CHF 900,000.–",4.5 rooms,112m²,"Servion, 1077 Servion",vaud,Apartment,eg,2016-2024
"CHF 1,780,000.–",3.5 rooms,120m²,"Chemin du Signal, 1070 Puidoux",vaud,Apartment,eg,2016-2024
"CHF 870,000.–",4 rooms,166m²,"Villars-le-Grand, 1584 Villars-le-Grand",vaud,Apartment,eg,2016-2024
"CHF 1,260,000.–",4.5 rooms,123m²,"Prilly, 1008 Prilly",vaud,Apartment,eg,2016-2024
"CHF 770,000.–",4.5 rooms,112m²,1846 Chessel,vaud,Apartment,eg,2016-2024
"CHF 1,165,000.–",4.5 rooms,122m²,1820 Montreux,vaud,Apartment,eg,2016-2024
"CHF 1,780,000.–",3.5 rooms,120m²,"Chemin du Signal, 1070 Puidoux",vaud,Apartment,eg,2016-2024
"CHF 1,150,000.–",4.5 rooms,86m²,"Chemin des Moilles, 1070 Puidoux",vaud,Apartment,eg,2016-2024
"CHF 1,240,000.–",4.5 rooms,94m²,"Chemin des Moilles, 1070 Puidoux",vaud,Apartment,eg,2016-2024
"CHF 1,250,000.–",3.5 rooms,100m²,1009 Pully,vaud,Apartment,eg,2016-2024
"CHF 760,000.–",3.5 rooms,94m²,1847 Rennaz,vaud,Apartment,eg,2016-2024
"CHF 640,000.–",4.5 rooms,110m²,1346 Les Bioux,vaud,Apartment,eg,2016-2024
"CHF 1,040,000.–",4.5 rooms,124m²,1845 Noville,vaud,Apartment,eg,2016-2024
"CHF 765,000.–",3.5 rooms,86m²,1867 Ollon VD,vaud,Apartment,eg,2016-2024
"CHF 910,000.–",4.5 rooms,133m²,1867 Ollon VD,vaud,Apartment,eg,2016-2024
"CHF 1,890,000.–",4.5 rooms,116m²,1093 La Conversion,vaud,Apartment,eg,2016-2024
"CHF 670,000.–",4.5 rooms,97m²,1854 Leysin,vaud,Apartment,eg,2016-2024
"CHF 610,000.–",2.5 rooms,51m²,1026 Denges,vaud,Apartment,eg,2016-2024
"CHF 745,000.–",2.5 rooms,57m²,1026 Denges,vaud,Apartment,eg,2016-2024
"CHF 1,240,000.–",4.5 rooms,94m²,1072 Forel (Lavaux),vaud,Apartment,eg,2016-2024
"CHF 1,150,000.–",4.5 rooms,86m²,1072 Forel (Lavaux),vaud,Apartment,eg,2016-2024
"CHF 1,145,000.–",5 rooms,162m²,"St-Triphon, 1867 St-Triphon",vaud,Apartment,eg,2016-2024
"CHF 520,000.–",3.5 rooms,73m²,1562 Corcelles-près-Payerne,vaud,Apartment,eg,2016-2024
"CHF 565,858.–",3.5 rooms,103m²,1880 Bex,vaud,Apartment,eg,2016-2024
"CHF 545,000.–",3.5 rooms,82m²,1852 Roche VD,vaud,Apartment,eg,2016-2024
"CHF 860,000.–",4.5 rooms,115m²,"St-Triphon, 1867 St-Triphon",vaud,Apartment,eg,2016-2024
"CHF 355,000.–",1.5 rooms,45m²,"St-Triphon, 1867 St-Triphon",vaud,Apartment,eg,2016-2024
"CHF 840,000.–",4.5 rooms,114m²,"St-Triphon, 1867 St-Triphon",vaud,Apartment,eg,2016-2024
"CHF 1,490,000.–",4.5 rooms,84m²,1010 Lausanne,vaud,Apartment,eg,2016-2024
"CHF 875,000.–",2.5 rooms,51m²,1092 Belmont-sur-Lausanne,vaud,Apartment,eg,2016-2024
"CHF 1,380,000.–",4.5 rooms,170m²,1820 Montreux,vaud,Apartment,eg,2016-2024
"CHF 750,000.–",3.5 rooms,88m²,"Avenue de la Vallombreuse 53, 1008 Prilly",vaud,Apartment,eg,2016-2024
"CHF 790,000.–",4.5 rooms,97m²,1264 St Cergue,vaud,Apartment,eg,2016-2024
"CHF 430,000.–",2.5 rooms,70m²,1530 Payerne,vaud,Apartment,eg,2016-2024
"CHF 630,000.–",3.5 rooms,86m²,1530 Payerne,vaud,Apartment,eg,2016-2024
"CHF 1,125,000.–",5.5 rooms,136m²,1422 Grandson,vaud,Apartment,eg,2016-2024
"CHF 329,023.–",2.5 rooms,59m²,1880 Bex,vaud,Apartment,eg,2016-2024
"CHF 865,000.–",3.5 rooms,114m²,1852 Roche VD,vaud,Apartment,eg,2016-2024
"CHF 1,930,000.–",4.5 rooms,141m²,"Ch. Poses - Franches 10, 1090 La Croix (Lutry)",vaud,Apartment,eg,2016-2024
"CHF 1,150,000.–",4.5 rooms,89m²,1018 Lausanne,vaud,Apartment,eg,2016-2024
"CHF 747,000.–",3.5 rooms,117m²,1510 Moudon,vaud,Apartment,eg,2016-2024
"CHF 754,000.–",4.5 rooms,121m²,1510 Moudon,vaud,Apartment,eg,2016-2024
"CHF 1,200,000.–",5.5 rooms,129m²,"Chemin de la Gay 1, 1803 Chardonne",vaud,Apartment,eg,2016-2024
"CHF 990,000.–",4.5 rooms,94m²,"Rue des quatre Fontaines 29, 1278 La Rippe",vaud,Apartment,eg,2016-2024
"CHF 740,000.–",3.5 rooms,102m²,1530 Payerne,vaud,Apartment,eg,2016-2024
"CHF 875,000.–",3.5 rooms,,"Route de la Frasse 29, 1660 Château-d'Oex",vaud,Apartment,eg,2016-2024
"CHF 695,000.–",4.5 rooms,93m²,1350 Orbe,vaud,Apartment,eg,2016-2024
"CHF 850,000.–",2 rooms,40m²,1009 Pully,vaud,Apartment,eg,2016-2024
"CHF 459,000.–",3.5 rooms,75m²,1525 Henniez,vaud,Apartment,eg,2016-2024
"CHF 840,000.–",3.5 rooms,78m²,1304 Senarclens,vaud,Apartment,eg,2016-2024
"CHF 870,000.–",3.5 rooms,76m²,1304 Senarclens,vaud,Apartment,eg,2016-2024
