"price","number_of_rooms","address","canton","property_type","floor","year_category","Impôt cantonal_impots","Impôt communal_impots","Impôt paroissial Evang. / réform_impots","Impôt paroissial Kath. / cath.rom_impots"
3200000,65,"Chemin des Grands-Huttins 10, 1296 Coppet","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
1450000,65,"1373 Chavornay","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
1050000,55,"1588 Cudrefin","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
1940000,6,"1820 Montreux","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
339000,2,"1820 Montreux","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
2900000,85,"1800 Vevey","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
2900000,85,"1803 Chardonne","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
1995000,75,"1000 Lausanne","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
10500000,10,"1028 Préverenges","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
1990000,10,"1024 Ecublens VD","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
1995000,75,"Lausanne 26, 1000 Lausanne 26","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
3750000,65,"1807 Blonay","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
1940000,65,"1820 Montreux","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
1200000,7,"1436 Treycovagnes","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
3700000,9,"1807 Blonay-Saint-Légier","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
897000,55,"1264 St-Cergue","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
2095000,8,"Tolochenaz, 1131 Tolochenaz","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
2095000,8,"A Tolochenaz, 1131 Tolochenaz","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
2990250,55,"1822 Chernex","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
4983750,55,"1807 Blonay","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
8306250,10,"1167 Lussy-sur-Morges","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
5314670,6,"Chenaux, 1091 Chenaux","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
5314670,6,"A Chenaux, 1091 Chenaux","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
2066590,35,"1823 Glion","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
2113110,45,"1073 Savigny","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
1129650,55,"1337 Vallorbe","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
2252650,4,"1026 Echandens-Denges","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
4252800,8,"1052 Le Mont-sur-Lausanne","Vaud","Villa","","1961-1970","1.55",0.785,NA,NA
995000,45,"Chemin du Sansui 22, 1562 Corcelles-près-Payerne","Vaud","Villa","","1971-1980","1.55",0.785,NA,NA
2150000,6,"1436 Treycovagnes","Vaud","Villa","","1971-1980","1.55",0.785,NA,NA
1290000,5,"1422 Grandson","Vaud","Villa","","1971-1980","1.55",0.785,NA,NA
2690000,65,"1008 Jouxtens-Mézery","Vaud","Villa","","1971-1980","1.55",0.785,NA,NA
